#{"t_start": 1591108542.778246, "env_id": null}
r,l,t
-15629.102072,1042,894.177526
-56213.924086,991,895.415355
-35026.235075,1085,896.731578
-52217.661466,1094,898.042951
-59689.139514,1024,899.306348
-70054.061392,1284,900.862683
-55057.719419,1073,902.182335
-79034.674906,1024,903.422544
-58336.765086,1024,904.699343
-69571.774337,1023,905.936168
-63618.516534,1047,907.203655
-72279.864265,1219,908.665343
-44386.723441,1044,909.964963
-60071.394608,1084,911.25935
-37608.111622,1015,912.51903
-61864.918088,1177,913.937895
-20530.499583,1173,915.364361
-18862.375427,1018,916.613072
-50106.761621,1054,917.912452
-37550.120524,1157,919.325807
-114033.899985,1641,921.353237
-24350.969825,1372,923.013892
-35136.801877,1166,924.437229
-39175.108051,1037,925.71336
-70318.370481,1499,927.587727
-74143.847995,1742,929.788209
-70544.154,1370,931.479986
-43721.548309,1367,933.193055
-44172.520128,1418,934.985608
-33529.465374,2053,937.598645
-48284.05482,1307,939.239208
-75932.480957,1469,941.119604
-104455.682414,1425,942.955372
-64234.794015,2838,946.54333
-36211.937463,1089,947.92405
-28867.368817,1266,949.513486
-11511.782083,1487,951.359121
-25107.311982,1705,953.509905
-75392.034643,1224,955.003479
-44275.321322,1199,956.514257
-73073.825085,2359,959.473696
-77597.559483,1329,961.122959
-13414.589267,1281,962.73421
-50576.005468,1238,964.297134
-21846.716883,1076,965.737951
-73870.156153,2462,968.842022
-30710.77211,1301,970.47586
-40908.545548,1301,972.09597
-33944.19111,1346,973.761123
-25211.432456,1173,975.268395
-27343.264668,1636,977.233837
-37763.828122,1369,978.928804
-16095.204747,1372,980.587092
-53564.221006,1425,982.303274
-26096.081191,1737,984.402892
-14000.574007,1165,985.846131
-32331.408515,1373,987.543746
-17888.353309,1329,989.194229
-17145.929213,1094,990.503881
1.0,1,990.507718
-28758.925239,1688,992.544792
-32005.400731,1501,994.35592
-25159.244374,1811,996.555001
-64087.476601,1314,998.159844
-38799.822978,1251,999.672086
-20285.337321,1665,1001.678944
-30759.562441,1151,1003.067118
-23917.801909,1119,1004.452212
-18650.261263,1403,1006.137781
-31956.847973,1312,1007.716011
-41609.900916,2268,1010.53567
-44744.720654,1373,1012.20077
-44867.965458,1286,1013.758779
-22602.999072,2099,1016.290755
-22424.752837,1825,1018.518846
-42640.457627,2077,1021.048406
-32581.346861,1234,1022.527232
-32637.314335,1244,1024.050168
-22075.796562,1546,1025.942609
-29743.61475,1274,1027.489383
-52866.709882,1150,1028.874331
-43706.660915,1198,1030.400891
-30313.989184,1479,1032.194474
-56759.810325,1261,1033.729
-30164.576009,1600,1035.630404
-28899.123688,1755,1037.767533
-21669.414949,1196,1039.210194
-18929.090034,1204,1040.700803
-35680.386603,1470,1042.472906
-31090.043196,1738,1044.593964
-71768.763477,1267,1046.132847
-17692.54104,1280,1047.685628
-78181.130858,1055,1048.945193
-33384.805461,1055,1050.219168
-17279.134497,1713,1052.41291
