#{"t_start": 1591196038.852184, "env_id": null}
r,l,t
-834.84915,116,1381.326333
-159.035026,144,1381.516224
-194.421726,101,1381.670506
-270.713429,358,1382.130612
-507.807211,346,1382.616276
-995.138116,238,1382.944217
-57.237841,208,1383.182318
-143.355347,170,1383.399694
-2741.944171,482,1384.047218
-2520.331955,445,1384.647761
-27.559389,84,1384.73184
-1002.648297,148,1384.960191
-2022.242901,292,1385.335891
-1021.032934,1036,1386.693888
-4683.473467,609,1387.491285
-125.605758,541,1388.214211
-4357.310769,536,1388.920278
-243.921679,49,1388.970407
-422.607754,652,1389.869443
-385.754225,345,1390.289731
-1583.077316,782,1391.311946
-2057.922829,551,1392.06243
-966.161807,144,1392.265707
-79.403405,29,1392.294714
-252.165328,198,1392.572058
-1466.793209,443,1393.115387
-747.784212,125,1393.301942
-1121.750632,535,1393.990028
-2083.23058,528,1394.677881
-2855.626213,477,1395.313543
-3000.143734,370,1395.816669
-480.951331,265,1396.165938
-379.204761,273,1396.517214
-1075.348539,430,1397.063284
-32.156494,257,1397.416925
-744.392262,474,1398.030936
-927.788439,372,1398.53581
-1074.997808,510,1399.200557
-157.094474,345,1399.649817
-992.830201,281,1400.015307
-122.807202,138,1400.208492
-861.281352,349,1400.666111
-24.514066,62,1400.739051
-3271.821194,483,1401.383009
-1857.305689,165,1401.591703
-1865.955963,462,1402.206687
-1953.623887,284,1402.57824
-1063.028372,229,1402.900281
-918.865467,303,1403.279289
-2046.345412,452,1403.887845
-2753.885717,458,1404.479721
-899.782665,335,1404.924462
-1287.60744,329,1405.392963
-1133.608659,167,1405.584696
-142.465213,238,1405.90134
-1581.127843,288,1406.266409
-1573.62962,262,1406.620297
-574.522505,297,1407.01125
-1933.998635,335,1407.464336
-183.72266,49,1407.513143
-4238.219784,281,1407.910279
-229.172052,137,1408.106433
-68.290479,33,1408.139319
-1007.399791,352,1408.593711
-2435.991514,351,1409.045987
-933.154368,327,1409.496441
-1349.420548,461,1410.112242
-1535.282615,416,1410.667715
-2935.525614,596,1411.421038
-260.18953,55,1411.506174
-352.481836,379,1412.020937
-253.785839,857,1413.139278
-105.846981,38,1413.180912
-3728.446811,516,1413.852683
-394.032526,207,1414.114474
-416.130591,548,1414.848834
-739.918991,164,1415.068097
-462.179795,160,1415.266118
-391.895992,308,1415.69967
-1100.598309,340,1416.141983
-1352.210692,295,1416.550211
-1123.99109,122,1416.700564
-973.36239,288,1417.071094
-3409.829128,557,1417.796216
-2625.158203,405,1418.328148
-636.601125,247,1418.654443
-1957.601735,436,1419.248869
-2102.962242,233,1419.566087
-1076.033675,290,1419.93966
-1719.953688,204,1420.183888
-336.181584,400,1420.730573
-823.013277,382,1421.256144
-138.77216,133,1421.416594
-803.979938,323,1421.812025
-3242.652799,462,1422.43952
-392.937773,514,1423.110852
-702.782701,236,1423.431374
-98.726549,363,1423.901618
-2642.453803,437,1424.497597
-634.1013,353,1425.050191
-4144.269532,410,1425.590175
-1538.468814,531,1426.276995
-513.363582,345,1426.738596
-1191.168387,125,1426.918567
-3517.874987,447,1427.470076
-1442.509157,276,1427.843983
-285.408967,177,1428.088629
